ticker,name,type,exchange,currency,sector,universe,asset_class
BEZ.AX,Besra Gold Inc.,equity,Australia,AUD,Materials,asx_listed,Equities
BFG.AX,Bell Financial Group Limited,equity,Australia,AUD,Financials,asx_listed,Equities
BFL.AX,Bsp Financial Group Limited,equity,Australia,AUD,Financials,asx_listed,Equities
BGA.AX,Bega Cheese Limited,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
BGD.AX,Barton Gold Holdings Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BGE.AX,Bridge Saas Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
BGL.AX,Bellevue Gold Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BGP.AX,Briscoe Group Australasia Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
BGT.AX,Bio-Gene Technology Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
BH6.AX,Broken Hill Gold Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
BHD.AX,Benjamin Hornigold Limited,equity,Australia,AUD,,asx_listed,Equities
BHL.AX,Black Horse Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BHM.AX,Broken Hill Mines Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BHP.AX,Bhp Group Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BIM.AX,Bindi Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BIO.AX,Biome Australia Limited,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
BIS.AX,Bisalloy Steel Group Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BIT.AX,Biotron Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
BKB.AX,Black Bear Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BKI.AX,Bki Investment Company Limited,equity,Australia,AUD,,asx_listed,Equities
BKT.AX,Black Rock Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BKY.AX,Berkeley Energia Limited,equity,Australia,AUD,Energy,asx_listed,Equities
BLG.AX,Bluglass Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
BLS.AX,Bls Pharmaceuticals Limited,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
BLU.AX,Blue Energy Limited.,equity,Australia,AUD,Energy,asx_listed,Equities
BLX.AX,Beacon Lighting Group Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
BLZ.AX,Blaze Minerals Limited,equity,Australia,AUD,Energy,asx_listed,Equities
BM1.AX,Ballard Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BM8.AX,Battery Age Minerals Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
BMC.AX,Bmc Minerals Ltd.,equity,Australia,AUD,Materials,asx_listed,Equities
BMH.AX,Baumart Holdings Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
BML.AX,Boab Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BMM.AX,Bayan Mining And Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BMN.AX,Bannerman Energy Ltd,equity,Australia,AUD,Energy,asx_listed,Equities
BMR.AX,Ballymore Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BMT.AX,Beamtree Holdings Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
BNL.AX,Blue Star Helium Limited,equity,Australia,AUD,Energy,asx_listed,Equities
BNR.AX,Bulletin Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BNZ.AX,Benz Mining Corp.,equity,Australia,AUD,Materials,asx_listed,Equities
BOA.AX,Boa Resources Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
BOC.AX,Bougainville Copper Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BOE.AX,Boss Energy Ltd,equity,Australia,AUD,Energy,asx_listed,Equities
